algorithm,category,run_dir,status,image_auroc,pixel_auroc,pro_score,runtime_seconds,max_gpu_mem_mb,memory_bank_file_bytes,memory_bank_detail,reference_image_count,heatmap_count,overlay_count,output_dir,command,error,notes
PaDiM-teaching,carpet,padim_carpet,success,0.9935794542536116,0.9861613103859214,null,231.634,31.936,13049029,"{""train_feature_shape"":[280,64,28,28],""mean_shape"":[784,64],""inv_cov_shape"":[784,64,64]}",280,30,30,runs\padim_carpet,python src/run_padim.py --category carpet --data-root data/mvtec --output runs/padim_carpet --device cuda --image-size 224 --batch-size 4 --feature-dim 64 --max-heatmaps 30,null,Teaching PaDiM using ResNet18 layer2 Gaussian memory.
PaDiM-teaching,bottle,padim_bottle,success,0.996031746031746,0.980037859759793,null,69.473,31.936,13049029,"{""train_feature_shape"":[209,64,28,28],""mean_shape"":[784,64],""inv_cov_shape"":[784,64,64]}",209,30,30,runs\padim_bottle,python src\run_padim.py --category bottle --data-root data\mvtec --output runs\padim_bottle --device cuda --image-size 224 --batch-size 4 --feature-dim 64 --max-heatmaps 30,null,Teaching PaDiM using ResNet18 layer2 Gaussian memory.
PatchCore-teaching,carpet,patchcore_carpet,success,0.959470304975923,0.981511695853978,null,215.411,31.936,515205,"{""raw_patch_count"":219520,""candidate_patch_count"":20000,""coreset_patch_count"":2000,""coreset_method"":""random"",""feature_dim"":64}",280,30,30,runs\patchcore_carpet,python src/run_patchcore.py --category carpet --data-root data/mvtec --output runs/patchcore_carpet --device cuda --image-size 224 --batch-size 4 --feature-dim 64 --coreset-size 2000 --coreset-method random --max-heatmaps 30,null,Teaching PatchCore using ResNet18 patch memory with coreset.
PatchCore-teaching,bottle,patchcore_bottle,success,1.0,0.9759231566373501,null,68.712,31.936,515205,"{""raw_patch_count"":163856,""candidate_patch_count"":20000,""coreset_patch_count"":2000,""coreset_method"":""random"",""feature_dim"":64}",209,30,30,runs\patchcore_bottle,python src/run_patchcore.py --category bottle --data-root data/mvtec --output runs/patchcore_bottle --device cuda --image-size 224 --batch-size 4 --feature-dim 64 --coreset-size 2000 --coreset-method random --max-heatmaps 30,null,Teaching PatchCore using ResNet18 patch memory with coreset.
SPADE-teaching,carpet,spade_carpet,success,0.9771268057784912,0.9819550031201432,null,209.005,31.936,56272133,"{""feature_dim"":64}",280,30,30,runs\spade_carpet,python src/run_spade.py --category carpet --data-root data/mvtec --output runs/spade_carpet --device cuda --image-size 224 --batch-size 4 --feature-dim 64 --k-neighbors 5 --max-heatmaps 30,null,Teaching SPADE-style normal image nearest-neighbor memory.
AnomalyDINO-teaching,carpet,anomalydino_carpet,success,0.995585874799358,0.9876728802790709,null,126.472,101.105,1029317,"{""model_name"":""vit_small_patch14_dinov2"",""pretrained"":true,""token_grid"":[16,16],""raw_patch_count"":71680,""candidate_patch_count"":20000,""coreset_patch_count"":2000,""coreset_method"":""random"",""feature_dim"":128}",280,30,30,runs\anomalydino_carpet,python src/run_anomalydino.py --category carpet --data-root data/mvtec --output runs/anomalydino_carpet --device cuda --image-size 224 --batch-size 2 --feature-dim 128 --model-name vit_small_patch14_dinov2 --pretrained --coreset-size 2000 --coreset-method random --max-heatmaps 30,null,Teaching AnomalyDINO-style DINO/ViT patch token memory. pretrained=False means representation-limited offline attempt.
